id,S,V,O,sentence
1515,premiums,reduce,benefits,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
1043,Medicare recipients,raise,premiums,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
622,they,plan raise,premiums,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
1611,they,plan to continue providing,next year,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
1321,next year,raise,premiums,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
1040,they,plan reduce,benefits,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
855,The nation 's health maintenance organizations,were required to tell the federal government by,midnight Monday,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
591,premiums,or reduce,benefits,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
319,they,plan to continue providing,health insurance,"The nation 's health maintenance organizations were required to tell the federal government by midnight Monday whether they plan to continue providing health insurance to Medicare recipients next year , raise premiums , or reduce benefits ."
170,The two-year note 's yield,was unchanged at,5.95 percent,The two-year note 's yield was unchanged at 5.95 percent .
281,The 12,is,$ 70.00,The 12 to 18-month target price is $ 70.00 per share .
1375,The 12,to target price is,$ 70.00,The 12 to 18-month target price is $ 70.00 per share .
87,The 12,is per,share,The 12 to 18-month target price is $ 70.00 per share .
141,The principal opposition parties,boycotted the polls after,accusations of vote-rigging,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
1110,The principal opposition parties,boycotted polls after,accusations of vote-rigging,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
979,the only other name,on ballot was,a little-known challenger,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
1942,The principal opposition parties,boycotted,the polls,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
1732,the ballot,was a little-known challenger from,a marginal political party,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
1672,the ballot,was,a little-known challenger,"The principal opposition parties boycotted the polls after accusations of vote-rigging , and the only other name on the ballot was a little-known challenger from a marginal political party ."
2244,Gallery hours,are,11 a.m.,Gallery hours are 11 a.m. to 6 p.m. daily .
1723,Gallery hours,are 11 a.m. to,6 p.m.,Gallery hours are 11 a.m. to 6 p.m. daily .
735,Gallery hours,are,11 a.m. to 6 p.m.,Gallery hours are 11 a.m. to 6 p.m. daily .
46,a perfectly reasonable explanation,were in,service,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1432,A Spanish official,seemed not,the least bit tense,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
129,A Spanish official,had finished,a siesta,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1870,A Spanish official,seemed,not the least bit tense,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
2172,the portable facilities,were n't in,service,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1547,A Spanish official,had just finished,a siesta,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1965,he,believed to be perfectly reasonable explanation for why,the portable facilities,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1694,a siesta,and seemed the least bit tense offered what,he,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
2043,a perfectly reasonable explanation,were n't in,service,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
649,he,believed to be,the portable facilities,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1208,a siesta,and seemed,not the least bit tense,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1877,a perfectly reasonable explanation,for why portable facilities were n't in,service,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
2417,A Spanish official,who had just finished,a siesta,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
387,A Spanish official,who had finished seemed,not the least bit tense,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
2249,the portable facilities,were in,service,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1471,not the least bit tense,offered what,he,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
